Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
Werner Raymann;wernerraymann;2022-11-21 23:19:41+00:00; Foi convocada pelo tite? Está no Qatar? 😬;0;2;0;Were you summoned by Tite? Are you in Qatar? 🇧🇷;neg;0.0897716416370789;0.9102283583629214;negative;0.0;1.0;0.0;NEGATIVE;0.0034128427505493164;0.9965871572494507;0.013799618162596792;Negativo
Gabriel ∆ SCCP ¹⁹¹⁰ 🦅🔥;Gabriel05SCCP;2022-11-22 01:09:37+00:00;_info  Tem traíra ai dentro Tite vazando foto que não era pra ta sendo  tirada e principalmente vazada dando, munição pro adversário ;0;2;0;_info There's a cheat in there Tite leaking a photo that wasn't supposed to be taken and mainly leaked giving ammunition to the opponent;neg;0.0998452102799623;0.9001547897200335;negative;0.0;1.0;0.0;NEGATIVE;6,68E+09;0.9999332427978516;0.014282674954894168;Negativo
🅰️drian Nunes 777;AdrianNunes7771;2022-11-22 00:33:11+00:00; Esse abel fica dando palpite, fica só na tua função aí desgraça, arrombado não gosta de técnico estrangeiro e vai querer um técnico ultrapassado brasileiro (se for o tite eu aceito muitoooo😍) fora isso, nenhum;0;0;0;This abel keeps giving a hunch, it's just your job there, disgrace, broken in doesn't like a foreign technician and will want an outdated Brazilian technician (if it's tite, I'll accept it a lot 😍) other than that, none;neg;0.1022726892850075;0.897727310714995;negative;0.0;1.0;0.0;NEGATIVE;2,26E+11;0.9999773502349854;0.014616855545005258;Negativo
z v♞;kidwask;2022-11-21 14:46:40+00:00;3311812 mano, tô acreditando que ele vai ficar só uns 6 meses até o Tite assumir. O problema é que ele é muito inexperiente e vai dirigir um dos melhores times do corinthians nos ultimos anos, pode ser que ele jogue toda expectativa desse elenco no lixo;0;1;0;3311812 bro, I'm believing he'll only stay for about 6 months until Tite takes over. The problem is that he is very inexperienced and will manage one of the best Corinthians teams in recent years, he may throw all expectations of this squad in the trash;neg;0.0625458570837248;0.937454142916278;negative;0.01;0.99;0.0;NEGATIVE;0.00040143728256225586;0.9995985627174377;0.014764104521264186;Negativo
yasmim 𓆙🇧🇷;yas_sccp;2022-11-21 20:32:01+00:00;"@_marcellaneto_ pq nenhum dos outros jogadores q não foi convocado ficou nessa palhaçada q ele ficou.
a torcida do time dele tava mandando tite tomar no c* e ele foi na onda.
e sobre provocação no fut, quem não aguenta peça pra sair. muda de profissão ou não acompanha";0;0;0;"@_marcellaneto_ because none of the other players who weren't called up stayed in the joke he did.
the fans of his team were telling tite to take it in the c * and he went along with it.
and about provocation in fut, who can't stand it, ask to leave. changes profession or does not follow";neg;0.1092090664353113;0.890790933564685;negative;0.0;0.95;0.05;NEGATIVE;1,84E+11;0.9999816417694092;0.015606540413784705;Negativo
J. de Jah ❤️🖤;JdeJah5;2022-11-21 22:28:32+00:00;Eu, burra véia,finalmente acordei pra vida e entendi porque nenhum ( NENHUM) comentarista da globo e do  fala mal da convocação do Tite, das frases ( horríveis) do seu ~coach e principalmente achar normal Richarlison de titular e Vini Jr no banco: tá no contrato com a CBF;0;0;0;I, stupid old lady, finally woke up to life and understood why no (NONE) commentator on Globo and the commentator speaks ill of Tite's call-up, the (horrible) phrases of his ~coach and mainly think Richarlison in the starting lineup and Vini Jr on the bench is normal: It's in the contract with the CBF;neg;0.1089234938207738;0.8910765061792234;negative;0.0;1.0;0.0;NEGATIVE;0.00036394596099853516;0.9996360540390015;0.015664483677538695;Negativo
𝑵𝒂𝑳𝒂𝒕𝒂©;nalataaa;2022-11-21 20:03:22+00:00;"- Chefe, que dia iremos folgar pra assistir os jogos?
- Cê foi convocado pelo Tite?
- Nem bola eu jogo chefe.
- Então... Por onde eu começo?";0;3;0;"- Boss, what day are we off to watch the games?
- Were you summoned by Tite?
- I don't even play boss.
- So... Where do I start?";neg;0.069259315068594;0.930740684931408;neutral;0.01;0.2;0.79;NEGATIVE;0.000873863697052002;0.999126136302948;0.01585814892324257;Negativo
wctousa;JoaoPedrou1;2022-11-21 13:56:57+00:00; Dps o tite que convocado errado... Willian fora é uma vergonha pro futebol;0;0;0;Dps the tite who was summoned wrong... Willian out is a shame for football;neg;0.0450913652907286;0.9549086347092718;negative;0.01;0.98;0.01;NEGATIVE;0.015766680240631104;0.9842333197593689;0.016660675110284403;Negativo
☘️;lsdflacko;2022-11-21 16:03:43+00:00;muito injusto o Tite não ter convocado ele só por não ser Brasileiro ;0;0;0;very unfair that Tite didn't call him up just because he wasn't Brazilian;neg;0.1195088504200768;0.8804911495799227;negative;0.0;1.0;0.0;NEGATIVE;0.0003606081008911133;0.9996393918991089;0.017175723803122718;Negativo
El Parmera;PereiraSEP14;2022-11-21 15:27:04+00:00;Não se esqueça nunca que esse Tite conseguiu perder uma final de campeonato para a Argentina em pleno Maracanã. Isso é inaceitável.;0;3;0;Never forget that this Tite managed to lose a championship final to Argentina in the middle of Maracanã. This is unacceptable.;neg;0.0808973074855482;0.9191026925144504;negative;0.01;0.99;0.01;NEGATIVE;0.00010228157043457031;0.9998977184295654;0.017300267232345335;Negativo
Shiwoo 🇧🇷;socadepressivo;2022-11-21 13:47:59+00:00;indo pegar o Tite no tapa pq ele não escalou o Coutinho e agora tenho que assistir a Copa vendo aquele joelho de paçoca que sofre de osteoporose;0;2;0;going to hit Tite in the slap because he didn't climb Coutinho and now I have to watch the Cup watching that paçoca knee that suffers from osteoporosis;neg;0.0737021249221775;0.926297875077824;negative;0.01;0.99;0.0;NEGATIVE;0.0038881897926330566;0.9961118102073669;0.017354072072491945;Negativo
naluisa no qatar 🇧🇷;protectrecruta;2022-11-21 16:28:44+00:00; Se o Tite tivesse convocado o _alberto era dele esse março aí certeza;0;0;0;If Tite had summoned _alberto, it would have been his this March, that's for sure;neg;0.0285379568375879;0.9714620431624128;neutral;0.01;0.01;0.98;NEGATIVE;0.02842092514038086;0.9715790748596191;0.017911401016907087;Negativo
Sandra Novaes ✠;_sandranovaes;2022-11-22 00:40:50+00:00; Claro você não foi convocado pelo tite 😂😂😂😂;0;0;0;Of course you weren't summoned by tite 😂😂😂😂;neg;0.0829773531888901;0.9170226468111096;neutral;0.01;0.06;0.93;NEGATIVE;0.004887998104095459;0.9951120018959045;0.018964764199583005;Negativo
caio;ocaiofausto;2022-11-21 19:57:46+00:00;esse tite deve tá cheirando, não é possível ;0;0;0;this guy must be smelling, it's not possible;neg;0.095777990659141;0.9042220093408592;negative;0.01;0.73;0.26;NEGATIVE;0.0004437565803527832;0.9995562434196472;0.019523643402835224;Negativo
Bruno;BrunoFQCRVG;2022-11-21 20:06:00+00:00;Tá faltando pouco pra eu poder começar a falar do absurdo que foi o Tite convocar o Pedro pra Copa e não o Pedro Raul. ;0;4;0;It's not long before I can start talking about the absurdity of Tite calling Pedro for the Cup and not Pedro Raul.;neg;0.1367374136509343;0.8632625863490663;negative;0.0;1.0;0.0;NEGATIVE;0.0017226934432983398;0.9982773065567017;0.020026114362504427;Negativo
Bruno;BrunoFQCRVG;2022-11-21 20:05:28+00:00;Tá faltando pouco pra eu poder começar a falar do absurdo que foi o Tite convocar o Pedro pra Copa e não o Pedro Raul. ;0;1;0;It's not long before I can start talking about the absurdity of Tite calling Pedro for the Cup and not Pedro Raul.;neg;0.1367374136509343;0.8632625863490663;negative;0.0;1.0;0.0;NEGATIVE;0.0017226934432983398;0.9982773065567017;0.020026114362504427;Negativo
Sérgio Lima;Ovatsug92659267;2022-11-21 16:46:13+00:00; _ Ué, eu falei que o Viny não deveria ser titular!? Eu jogaria com o Neymar, Viny, Raphinha e Richarlison. Só acho que se o Tite não o colocar como titular, ele tem argumentos para isso. Não existe garantia nenhuma de que o Viny vai vingar nessa copa de titular!;0;0;0;_ Wow, did I say that Viny shouldn't be in the starting lineup!? I would play with Neymar, Viny, Raphinha and Richarlison. I just think that if Tite doesn't put him in the starting line-up, he has arguments for that. There is no guarantee that Viny will succeed in this title cup!;neg;0.1432422760890951;0.8567577239109091;negative;0.0;0.99;0.01;NEGATIVE;0.0009967684745788574;0.9990032315254211;0.020747973291178973;Negativo
Moony;minhoca_uhaha;2022-11-21 15:31:53+00:00;"""Chefe, a gente vai ser liberado nos dias de jogo da seleção?""

""Vocês foram convocados pelo Tite?""

""Ahn? Não...""

""Então, não... Mas, se quiserem, podem deixar o rádio ligado na sala.""";0;0;0;"""Boss, are we going to be released on the days of the selection game?""

""Were you summoned by Tite?""

""Huh? No...""

""So, no... But, if you want, you can leave the radio on in the living room.""";neg;0.1000388904978056;0.8999611095021927;neutral;0.01;0.03;0.96;NEGATIVE;0.0026892423629760742;0.9973107576370239;0.020773910746251106;Negativo
qxute;qxute;2022-11-21 14:05:12+00:00;_info Tite era pra ter convocado esse inimigo da paz só pra ele vazar do Brasil por um tempo;0;2;0;_info Tite was supposed to have summoned this enemy of peace just so he could leave Brazil for a while;neg;0.1280635875754511;0.871936412424548;negative;0.0;1.0;0.0;NEGATIVE;0.009499967098236084;0.9905000329017639;0.021009074538846182;Negativo
El_ JalveSilva🇾🇪;328Ochoa;2022-11-21 17:01:33+00:00;" Pra mim o Corinthians vai esperar a decisão de TITE sobre a seleção, q se sair deve pega uns meses de férias, e depois retorno aí trabalho, provavelmente o Corinthians.
 Por isto não foi atrás de outro técnico pra não gastar dinheiro.";0;0;0;"For me, Corinthians will wait for TITE's decision on the selection, which if he leaves, he should take a few months of vacation, and then I'll go back to work, probably Corinthians.
 That's why he didn't go after another technician to not spend money.";neg;0.1672993844963851;0.8327006155036117;negative;0.0;0.99;0.01;NEGATIVE;5,20E+11;0.9999480247497559;0.023914762142410482;Negativo
Ponciano ᶜʳᵛᵍ🇧🇷🇮🇹;VnPonciano;2022-11-21 17:08:20+00:00;KKKKKKKKKKKKKKK NÃO É POSSÍVEL, O TITE CONSEGUIU ;0;0;0;LOL IT'S NOT POSSIBLE, TITE DID IT;neg;0.1117057758817741;0.8882942241182256;negative;0.01;0.7;0.29;NEGATIVE;0.009181201457977295;0.9908187985420227;0.024295454113961244;Negativo
bini;juridicocptm;2022-11-21 16:13:49+00:00;_li vc n acha que isso é o dulio pegou de tapa buraco pra tentar o tite?;0;1;0;_li don't you think that this is dulio hit the hole to tempt tite?;neg;0.1088916132511036;0.8911083867488969;neutral;0.01;0.33;0.66;NEGATIVE;0.012082517147064209;0.9879174828529358;0.02472237822074743;Negativo
pêzinho 🫧;_pedrooluccas_;2022-11-22 00:22:50+00:00;"ISSO EU NÃO ACEITO DE JEITO NENHUM !!!!!!
Tite escolhe eles pra compor o time da SELEÇÃO BRASILEIRA 🇧🇷, leva meus meninos pra fora de casa pra deixá-los de fora ?????
EU NÃO ME CONFORMO COM ISSO NÃO 😠😤😡🤬 @$% ";0;0;0;"THIS I DON'T ACCEPT AT ALL!!!!!!
Tite chooses them to compose the BRAZILIAN SELECTION team 🇧🇷, takes my boys out of the house to leave them out ?????
I DON'T CONFORM TO THAT NO 😠😤😡🤬 @$%";neg;0.134486882151422;0.8655131178485792;negative;0.01;0.94;0.05;NEGATIVE;0.00023156404495239258;0.9997684359550476;0.024992858605903827;Negativo
Moreno de Verdade;FelipeMoreno7;2022-11-21 15:53:16+00:00;"49366317  88 Carille? Só pode ser brincadeira!
Carille era QUINTO no BR e a torcida obrigou ele ser demitido, mesmo após tudo que conquistou!
Sylvio teve? O cara pegou time ridículo sem reforço, levou para liberta e caiu em 21 após perder UM jogo!
Tite foi o único e vimos o resultado!";0;0;0;"49366317 88 Carille? You Must be kidding!
Carille was FIFTH in BR and the fans forced him to be fired, even after everything he achieved!
Sylvio had? The guy took a ridiculous team without reinforcement, took it to freedom and fell in 21 after losing ONE game!
Tite was the only one and we saw the result!";neg;0.0549066268190871;0.9450933731809144;negative;0.03;0.95;0.02;NEGATIVE;0.0011973381042480469;0.998802661895752;0.025328757575369027;Negativo
Ricardo;vulgo_mit;2022-11-21 18:35:54+00:00;"Eae patrão vou ter que trabalhar no jogo do Brasil 
""Se você foi convocado pelo Tite, não! "" kkkkkkkkkkkkkkkkkkkkkkkm";0;1;0;"Hey boss I'm going to have to work on the Brazil game
""If you were summoned by Tite, no!"" kkkkkkkkkkkkkkkkkkkkkkkk";neg;0.0319276951764953;0.9680723048235024;neutral;0.02;0.18;0.8;NEGATIVE;0.03690308332443237;0.9630969166755676;0.026533408832194294;Negativo
puganino@gmail.com;puganinogmailco;2022-11-21 18:42:51+00:00;Este lixo não vai muinto longe quem é o Tite um ZÉ NINGUEM NUNCA GIU Treinador NA VIDA ;0;0;0;This garbage doesn't go very far Who is Tite um ZÉ NO ONE NEVER GIU Coach IN LIFE;neg;0.1872833935676105;0.8127166064323897;negative;0.0;0.99;0.01;NEGATIVE;4,73E+11;0.9999526739120483;0.026768292249073403;Negativo
Menino do Excel;Platinado0;2022-11-21 16:57:51+00:00;Muito louco o exercício se passar 4 anos odiando o Tite pra fazer uma completa lobotomia e passar a apoiá-lo;0;1;0;Very crazy the exercise if you spend 4 years hating Tite to do a complete lobotomy and start supporting him;neg;0.1494642174600206;0.8505357825399791;negative;0.01;0.99;0.0;NEGATIVE;0.0004292130470275879;0.9995707869529724;0.02718894907915368;Negativo
Boleiros FC 🏆 🇧🇷;boleirosfc_br;2022-11-21 19:32:00+00:00;"Tite não repete estratégia de 2018 e esconde time titular para a estreia da seleção brasileira na Copa do Mundo do Catar.

Mesmo não sendo de seu agrado, o comandante optou por mudar seu comportamento logo após o Mundial de 2018.

🗞 
📸 Lucas Figueiredo/CBF ";0;1;0;"Tite does not repeat the strategy of 2018 and hides the starting lineup for the debut of the Brazilian team in the World Cup in Qatar.

Even though it was not to his liking, the commander chose to change his behavior right after the 2018 World Cup.

🇧🇷
📸 Lucas Figueiredo/CBF";neg;0.1112595158808615;0.888740484119135;negative;0.02;0.77;0.21;NEGATIVE;0.0015973448753356934;0.9984026551246643;0.027779172233076126;Negativo
Ronald7 💢 ◤✠◢;06_ronald7;2022-11-21 13:48:22+00:00; Ele não foi convocado, mandou a tite tmnc kkk;0;0;0;He was not summoned, he sent tite tmnc lol;neg;0.0190162037768217;0.9809837962231782;negative;0.02;0.79;0.19;NEGATIVE;0.049096643924713135;0.9509033560752869;0.028172784518035423;Negativo
Rafael Carvalho - LFC 🔴⚪19x🏆⚪🔴;RafaelFC1412;2022-11-22 00:16:12+00:00;Povo chato este Mauro Cézar e a Milly Lamcombe pegando no pé da forma que o Tite fala de futebol. Dois que só falam MERDA querendo aparecer! VTNC!;0;0;0;Boring people, this Mauro Cézar and Milly Lamcombe picking on the way Tite talks about football. Two who only talk SHIT wanting to show up! VTNC!;neg;0.2018468985920183;0.7981531014079825;negative;0.0;0.96;0.03;NEGATIVE;0.00021654367446899414;0.999783456325531;0.02889714084870804;Negativo
Gabriel Lima ✠;GabrielLima_sa;2022-11-22 00:55:31+00:00;   Tá falando das substituições que o Tite tem que fazer aos 80 do segundo tempo?;0;1;0;Are you talking about the substitutions that Tite has to make at 80 in the second half?;neg;0.1947716167137529;0.8052283832862477;neutral;0.0;0.0;0.99;NEGATIVE;0.006980717182159424;0.9930192828178406;0.029819007296867393;Negativo
Jair Bolsominio;bolsominio;2022-11-21 16:17:07+00:00;  Não consigo entender porque o Tite nao convocou o CRAQUE BRUNO SANTOS pro lugar do Ney. Absurdo. Ia carregar o hexa nas costas (contém ironia);0;0;0;I can't understand why Tite didn't call CRAQUE BRUNO SANTOS to replace Ney. Absurd. I was going to carry the hex on my back (contains irony);neg;0.1232078509504513;0.8767921490495518;negative;0.02;0.93;0.04;NEGATIVE;0.005683720111846924;0.9943162798881531;0.030653613024877877;Negativo
JR🇧🇷;JoseSil16908102;2022-11-21 14:20:22+00:00;"1 ZERO:
NADA DE:
Pão com mortadela;
Pão e circo;
Pão que o diabo amassou.
*Quero que o Tite,amigo do Lula,se exploda. ";0;1;0;"1 ZERO:
NOTHING OF:
Bread with mortadella;
Bread and Circus;
Bread that the devil kneaded.
* I want Tite, Lula's friend, to explode.";neg;0.1441087670077813;0.8558912329922197;negative;0.02;0.97;0.01;NEGATIVE;0.0004131197929382324;0.9995868802070618;0.03213357237052254;Negativo
RNT™;rubionegrao;2022-11-21 17:56:00+00:00;"ANTES DA COPA: ""Tomara que o Pedro seja convocado e destrua lá no Catar! Chama o Pedro, Tite!""

DEPOIS DA COPA: ""Puxa, sacanagem o Real Madrid ter comprado o Pedro... O Flamengo não vai conseguir outro centroavante assim tão cedo.""";0;2;0;"BEFORE THE CUP: ""I hope Pedro is summoned and destroys it there in Qatar! Call Pedro, Tite!""

AFTER THE CUP: ""Wow, it's a shame that Real Madrid bought Pedro... Flamengo won't get another striker so soon.""";neg;0.2163124122891025;0.7836875877108986;negative;0.0;0.98;0.02;NEGATIVE;0.004943251609802246;0.9950567483901978;0.03231413078695814;Negativo
Alexsander;ederalexsander2;2022-11-22 00:20:04+00:00;"Ue kakakak cade o seu Adenor Tite kakakakkaakakak
Dps disso so o Carille
E sim eu não não curto oq ta cm a mão levantada doa a quem doer pq tem muita maria dele nesse site ";0;0;0;"Ue kkk where is your Adenor Tite kakakakakakakak
After that, it's just Carille
And yes, I don't like what's with the hand raised, it hurts whoever it hurts because there's a lot of his maria on this site";neg;0.2300729144548738;0.7699270855451279;negative;0.0;0.99;0.0;NEGATIVE;9,27E+10;0.9999072551727295;0.0328940577299164;Negativo
MK11tournamentBR;mk11tournament;2022-11-22 00:38:42+00:00; Pedro deveria ser titular,mas Tite vai com pombo...;0;0;0;Pedro should be in the starting lineup, but Tite goes with a pigeon...;neg;0.1136625156002302;0.8863374843997678;neutral;0.02;0.19;0.79;NEGATIVE;0.019338369369506836;0.9806616306304932;0.03319132204846341;Negativo
Dudu 🇧🇷;dudutosatti;2022-11-21 14:06:22+00:00;se o Tite não colocar o Vini Jr. de titular na quinta, esse país vai entrar em colapso FIFAWorldCup;0;0;0;if Tite doesn't put Vini Jr. starting on Thursday, this country will collapse FIFAWorldCup;neg;0.1872605801087744;0.8127394198912274;negative;0.01;0.94;0.05;NEGATIVE;0.002694845199584961;0.997305154800415;0.03323575292970633;Negativo
Daniel;Daniellmoraess;2022-11-22 00:54:28+00:00; Duvido muito, tite não iria tão ofensivo contra a Sérvia;0;0;0;I doubt it very much, tite would not go so offensive against Serbia;neg;0.2317710386702304;0.7682289613297684;negative;0.0;1.0;0.0;NEGATIVE;0.0006830692291259766;0.999316930770874;0.03330531101835462;Negativo
Portal Varada;PortalVarada;2022-11-21 16:05:48+00:00;Tite libera apenas 20 minutos em treino do Brasil que deve iniciar esboço da escalação ;0;0;0;Tite releases only 20 minutes in training with Brazil, which should start sketching the lineup;neg;0.1135462154322193;0.8864537845677811;neutral;0.03;0.17;0.8;NEGATIVE;0.00301283597946167;0.9969871640205383;0.03422455534159181;Negativo
RadarSul.Net;RadarSulNet;2022-11-21 15:44:37+00:00;Tite libera apenas 20 minutos em treino do Brasil que deve iniciar esboço da escalação ;0;0;0;Tite releases only 20 minutes in training with Brazil, which should start sketching the lineup;neg;0.1135462154322193;0.8864537845677811;neutral;0.03;0.17;0.8;NEGATIVE;0.00301283597946167;0.9969871640205383;0.03422455534159181;Negativo
⚠;JsJonassn3_;2022-11-21 14:49:59+00:00;_info Globosta só faltou chamar a jade picon p comentar ou a Jojo q disse q Tite errou por n convocar Arrascaeta kkkkkkkkkkkkkkkk;0;0;0;info Globosta just called jade picon to comment or Jojo who said that Tite was wrong for not calling Arrascaeta kkkkkkkkkkkkkkkk;neg;0.2384436961972028;0.7615563038027967;negative;0.0;1.0;0.0;NEGATIVE;0.0007225871086120605;0.9992774128913879;0.03426983863063242;Negativo
Ciz;cinthiapressao;2022-11-21 19:41:48+00:00; Amém.. Kkkkk Até mudei a foto pra não me acharem.. Tô tite kkkk pq meu nome é comum e eu nem uso foto no trampo, nem abro a câmera, sou tipo fugitiva kkkk meteram o FBI;0;1;0;Amen.. Lolololol I even changed the photo so they wouldn't find me.. I'm tite lol because my name is common and I don't even use a photo on my job, I don't even open the camera, I'm like a fugitive lol they put the FBI in;neg;0.1073664498929007;0.8926335501070979;negative;0.01;0.94;0.05;NEGATIVE;0.04714930057525635;0.9528506994247437;0.03452357872048763;Negativo
13;IvandaSilvaMai2;2022-11-21 23:59:36+00:00;  Depende só do antiflamenguista Tite esquecer o ódio e soltar o moleque em cima dos caras. Se bobear o titular do real será banco. Espera ...;0;0;0;It's up to the antiflamenguist Tite to forget the hate and let the kid on top of the guys. If you fool the holder of the real will be a bank. Wait ...;neg;0.2395374215564191;0.7604625784435822;negative;0.0;1.0;0.0;NEGATIVE;0.0011053681373596191;0.9988946318626404;0.03453545111873405;Negativo
nogueira¹⁸⁹⁵ 🧢;zknogueirazk;2022-11-21 18:38:07+00:00;1910  - pra que gastar com alguém que só vai pavimentar pro Tite assumir após o paulista ou no meio do ano ?;0;0;0;1910 - why spend on someone who will only pave for Tite to take over after the paulista or in the middle of the year?;neg;0.1633656056142848;0.8366343943857161;neutral;0.02;0.22;0.76;NEGATIVE;0.0005579590797424316;0.9994420409202576;0.03492593196768138;Negativo
wilson José Piaba;PiabaJose;2022-11-21 23:52:26+00:00;1 Nunca torci contra a seleção do Brasil mas aquele Tite petista e o episódio da copa América me desanimaram com a nossa equipe;0;0;0;1 I never supported the Brazilian national team but that Tite from the PT and the Copa America episode put me off with our team;neg;0.2032331828762839;0.796766817123718;negative;0.01;0.98;0.01;NEGATIVE;0.0025986433029174805;0.9974013566970825;0.03549006706887412;Negativo
Portal R7.com;portalR7;2022-11-21 18:15:00+00:00;"Tite fecha atividade, e seleção brasileira faz segundo treino no Catar 

Treinador começa a esboçar a equipe para duelo contra a Sérvia, que acontece na próxima quinta-feira  R7 portalr7 ";0;7;0;"Tite closes activity, and Brazilian team has second training session in Qatar

Coach begins to outline the team for the duel against Serbia, which takes place next Thursday R7 portalr7";neg;0.1283576578717805;0.8716423421282212;negative;0.03;0.81;0.16;NEGATIVE;0.0006024837493896484;0.9993975162506104;0.03565180362436569;Negativo
Snax1909🏹🇳🇬;Snax27836360;2022-11-22 01:16:40+00:00;1776 Sim, Eu acredito que o tite deve colocar  esse time ofensivo por conta que o Brasil tem que furar essa linha de 5 meias e 3 zagueiros da Sérvia, o problema é a recomposição né, contra gana eles jogaram Assim e quando ficavam sem a bola todo mundo voltava pra marcar......;0;1;0;1776 Yes, I believe that Tite should put this team on the offensive because Brazil has to break through this line of 5 midfielders and 3 defenders in Serbia, the problem is the recomposition, right, against Ghana they played like this and when they ran out of the ball everyone came back to score......;neg;0.0803535245837815;0.9196464754162206;negative;0.01;0.99;0.0;NEGATIVE;0.06476718187332153;0.9352328181266785;0.035698269761489224;Negativo
