Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
meretriz 🦑;luisapontozip;2022-09-13 19:33:22+00:00;   amiga esse menino é fascinante;0;1;0;friend this boy is fascinating;pos;0.7586027367648575;0.2413972632351423;positive;0.98;0.01;0.01;POSITIVE;0.9957525730133057;0.004247426986694336;0.9528725546844956;Positivo
onurb --;brunou_11;2022-09-13 17:16:37+00:00;a decisão do luva de pedreiro foi uma das mais inéditas e incríveis q eu ja vi;0;1;0;the bricklayer's glove decision was one of the most unprecedented and incredible I've ever seen;pos;0.7761944294681083;0.2238055705318924;positive;0.97;0.01;0.02;POSITIVE;0.9989626407623291;0.0010373592376708984;0.9505885301418238;Positivo
Brnn^^✪;brunnous;2022-09-13 18:58:42+00:00;"O luva de pedreiro encerrando sua carreira no auge da fama

Conquistou a liberdade de dar uma melhor qualidade de vida pra sua família sem deixar o ego se elevar";0;3;0;"The bricklayer's glove ending his career at the height of fame

Conquered the freedom to give a better quality of life to his family without letting the ego rise";pos;0.9353376132949448;0.0646623867050563;positive;0.96;0.01;0.03;POSITIVE;0.9345564842224121;0.06544351577758789;0.9492072259628241;Positivo
Lucas ;umlucasmota;2022-09-13 19:43:43+00:00;"Oi amigos, sobre o luva de pedreiro

espero que ele seja feliz, seja qual for a decisão que ele tomar

ficar famoso do dia pra noite mexe com o psicológico de qualquer um, e a gente cabe apoiar o cara que fez a gente sorrir tanto";0;0;0;"Hi friends, about the mason's glove

I hope he's happy, whatever decision he makes

becoming famous overnight affects anyone's psyche, and we have to support the guy who made us smile so much";pos;0.897577722375044;0.1024222776249533;positive;0.95;0.01;0.04;POSITIVE;0.9587803483009338;0.04121965169906616;0.9450197741395588;Positivo
Daniel Berg Salazar;Daniellberrg;2022-09-13 18:06:48+00:00;Espero que o   encontre oque ele  realmente sonha em fazer, e seja muito feliz! Desejo sucesso pra ele. E espero que eu realize o meu, de ser conhecido e trazer alegria praz pessoas. 🥳😂;0;0;0;I hope you find what he really dreams of doing, and be very happy! I wish him success. And I hope I do mine, to be known and bring joy to people. 🥳😂;pos;0.9154252571486544;0.0845747428513452;positive;0.92;0.02;0.06;POSITIVE;0.9957863688468933;0.0042136311531066895;0.9409997135489202;Positivo
lucas 🎈;lvcasfurtado;2022-09-13 19:51:49+00:00;"   gente incrível ELE É A &gt;L A T A&lt; DA MÃE";0;2;0;amazing people HE IS THE MOTHER'S >L A T A<;pos;0.7493605985909503;0.2506394014090494;positive;0.96;0.01;0.03;POSITIVE;0.998400866985321;0.001599133014678955;0.9408803332230846;Positivo
Quem;quem;2022-09-13 18:19:33+00:00;"Ara!  melhor do mundo e com homenagem em 'Pantanal', RECEBA
";0;3;0;Ah! best in the world and with homage in 'Pantanal', RECEBA;pos;0.7855050916807991;0.2144949083192012;positive;0.95;0.01;0.04;POSITIVE;0.9997701048851013;0.00022989511489868164;0.9407207573501432;Positivo
Johnny Gonzalez;johnnygo_brazil;2022-09-13 16:32:39+00:00;"Parabéns ao 
 pela categoria com que deixou de lado a mídia. Enquanto era DIVERSÃO, estava tudo ÓTIMO... aí virou TRABALHO, com obrigações, contratos a cumprir, horários estabelecidos, gentes com quem tratar... BOA, FILHÃO! VÁ SER FELIZ COMO ANTES! Saiu BEM D+!";0;0;0;"Congratulations to
 for the category with which he left the media aside. While it was FUN, everything was GREAT... then it became WORK, with obligations, contracts to fulfill, established schedules, people to deal with... GOOD, SON! GO BE HAPPY AS BEFORE! It came out WELL D+!";pos;0.986254141309304;0.0137458586906914;positive;0.9;0.03;0.08;POSITIVE;0.9991922974586487;0.0008077025413513184;0.9406626766038002;Positivo
teus;mateuscrvlh;2022-09-13 19:38:08+00:00;Mc Divertida estuda e trabalha, o terror do Luva de Pedreiro;0;0;0;Mc Fun studies and works, the terror of Glove de Pedreiro;pos;0.9440903557791176;0.0559096442208805;positive;0.91;0.02;0.07;POSITIVE;0.99736088514328;0.0026391148567199707;0.9398303037236683;Positivo
felix 🇧🇷;merdeste;2022-09-13 16:57:51+00:00;luva de pedreiro merece o mundo ❤️;0;0;0;mason glove deserves the world ❤️;pos;0.7209726622888939;0.2790273377111061;positive;0.96;0.01;0.03;POSITIVE;0.9975742697715759;0.0024257302284240723;0.9365887431188636;Positivo
Bandeirinha de Escanteio 🚩;BandeirinhaEsc;2022-09-13 19:31:51+00:00;Ser bem sincero: a história do Luva de Pedreiro daria muito bem um filme. Só botar um bom cineasta na causa, daria algo bem massa;0;0;0;To be very honest: the story of Glove de Pedreiro would make a very good movie. Just putting a good filmmaker on the cause would make something really cool;pos;0.7008886750478788;0.2991113249521208;positive;0.98;0.01;0.01;POSITIVE;0.9647536277770996;0.03524637222290039;0.9357708472288683;Positivo
Silvia Bourbon Nava;bourbonnava;2022-09-13 21:05:29+00:00;Belíssimo texto de  sobre o Menino Luva de Pedreiro ❤️ ;0;2;0;Beautiful text about the Mason Glove Boy ❤️;pos;0.6238900574218073;0.3761099425781924;positive;0.99;0.0;0.0;POSITIVE;0.9794769883155823;0.020523011684417725;0.9346920048647103;Positivo
Kayo Lyra;mlklyra;2022-09-13 22:10:13+00:00;Atitude admirável do luva de pedreiro 👏🏻;0;0;0;Admirable attitude of the mason glove 👏🏻;pos;0.5770098875309396;0.4229901124690605;positive;0.99;0.0;0.0;POSITIVE;0.9979599714279175;0.0020400285720825195;0.9332756900552536;Positivo
Skane;quamo3;2022-09-13 16:25:24+00:00; melhores 🙏;0;0;0;best 🙏;pos;0.5725146198830409;0.4274853801169591;positive;0.99;0.01;0.01;POSITIVE;0.999397873878479;0.0006021261215209961;0.9330443382342856;Positivo
Lucas Alves;_antuneslucas;2022-09-13 17:41:08+00:00;Luva de pedreiro meteu alguns milhões no bolso e vai viver a vida fora da internet. Que sabedoria.;0;8;0;Mason's glove put a few million in his pocket and will live his life off the internet. What wisdom.;pos;0.7210207326911695;0.2789792673088299;positive;0.97;0.01;0.02;POSITIVE;0.961193323135376;0.03880667686462402;0.931915339851703;Positivo
DAVY CAMACHHO 👁️;Davycamachho;2022-09-14 00:55:16+00:00;" Não desiste não .
Vc é incrivel";0;1;0;"Don't give up.
you are amazing";pos;0.5582102075942321;0.4417897924057675;positive;0.99;0.0;0.01;POSITIVE;0.9979494214057922;0.0020505785942077637;0.930587007200831;Positivo
MulheresEmFoco;MulheresEmFoco;2022-09-13 19:09:32+00:00;Decisão acertada .  Merece ser feliz! ;0;0;0;Right decision. Deserve to be happy!;pos;0.6316625051158556;0.3683374948841441;positive;0.97;0.01;0.02;POSITIVE;0.9992710947990417;0.000728905200958252;0.9300292421019912;Positivo
ıɔɐɹo 🇻🇳 Барон оф Барреиро;spnoraci;2022-09-13 17:38:21+00:00;O Luva de Pedreiro é gigantesco... já tá no topo das trends do BR. Espero que fique bem;0;0;0;The Pedreiro Glove is gigantic... it's already at the top of BR trends. I hope you are well;pos;0.5978852868542175;0.4021147131457812;positive;0.98;0.01;0.01;POSITIVE;0.9920167922973633;0.007983207702636719;0.9288455530641349;Positivo
sommelier de energético;femmanipulator;2022-09-13 23:56:43+00:00;caralho o luva de pedreiro real fico rico e aposentou IANSOWBSOQBWIWBSIWJUSJD que cara bom;0;0;0;fuck the royal mason glove I get rich and retired IANSOWBSOQBWIWBSIWJUSJD what a nice guy;pos;0.6266149336727199;0.373385066327279;positive;0.97;0.01;0.02;POSITIVE;0.9938138723373413;0.006186127662658691;0.9277489540496289;Positivo
mateus;iamtamoios;2022-09-13 23:01:31+00:00;hoje tô igual o luva de pedreiro: larguei o que gosto de mão mesmo sabendo que posso me reinventar e fazer melhor que os outros;0;1;0;Today I'm like a bricklayer's glove: I dropped what I like even though I know I can reinvent myself and do better than others;pos;0.9003048792116255;0.0996951207883735;positive;0.92;0.02;0.06;POSITIVE;0.9568497538566589;0.043150246143341064;0.9277149124178491;Positivo
Beep Boop;BeepBoop6518242;2022-09-13 21:01:59+00:00;Pessoal vocês viram o conteúdo novo do luva de pedreiro? Está surpreende tem uma parte que ele olha pra câmera e diz receba é imperdível;0;7;0;Guys, did you see the new content of the mason glove? It's surprising there's a part where he looks at the camera and says receive it's a must;pos;0.5235611336015747;0.4764388663984276;positive;0.99;0.01;0.01;POSITIVE;0.9991838335990906;0.0008161664009094238;0.9259898286856795;Positivo
Treta News7;TretaNewsss7;2022-09-13 18:58:36+00:00;Esse ator é uma figura,  adoro ele ! pantanal novelas luva de pedreiro arthur aguiar JADE NA GLAMOUR ;0;0;0;This actor is a character, I love him! pantanal novels mason glove arthur aguiar JADE NA GLAMOR;neg;0.4973328278867788;0.5026671721132207;positive;0.99;0.0;0.0;POSITIVE;0.9972453117370605;0.002754688262939453;0.9216890644801286;Positivo
Renaiscida;kkkpivara;2022-09-13 19:38:36+00:00;Nossa finalmente um assunto importante, tô ansiosissimo em descobrir pq o luva de pedreiro saiu das redes sociais;0;1;0;Wow, finally an important subject, I'm really excited to find out why the mason's glove left social media;pos;0.7720527927541646;0.2279472072458349;positive;0.92;0.02;0.05;POSITIVE;0.9996939897537231;0.00030601024627685547;0.921634396037373;Positivo
Álisson Sá;eualissonsa;2022-09-13 22:24:52+00:00;Forças ao Luva de Pedreiro  , que sua decisão seja sábia e que seu psicológico fique firme.;0;0;0;Strength to Glove de Pedreiro, may his decision be wise and may his psychological stand firm.;pos;0.8483458064635211;0.1516541935364768;positive;0.9;0.02;0.08;POSITIVE;0.999713122844696;0.0002868771553039551;0.9211102931647019;Positivo
Artur Rodrigues;arturrodrigues;2022-09-13 18:00:46+00:00;Espero que o Luva de Pedreiro ajude a acabar com o emprego inútil que surgiu na história da humanidade ;0;3;0;I hope the Mason Glove helps to end the useless job that has emerged in the history of mankind;pos;0.92290810269043;0.0770918973095694;positive;0.88;0.08;0.03;POSITIVE;0.9968984127044678;0.0031015872955322266;0.9195292754427664;Positivo
Mary #FaithInTheFuture;townlinson;2022-09-13 16:27:24+00:00;Agora que o Luva de pedreiro vira jogador profissional de futebol né? Espero que sim, ele realmente merece;0;1;0;Now that the bricklayer's glove becomes a professional football player, right? I hope so, he really deserves it;pos;0.7564724160768562;0.2435275839231418;positive;0.92;0.02;0.06;POSITIVE;0.9990693926811218;0.0009306073188781738;0.9192301716341572;Positivo
Diário de S. Paulo;DiarioSP;2022-09-13 16:25:58+00:00;"Confira a emocionante declaração!
luvadepedreiro redessociais digitalinfluencer

";0;0;0;"Check out the exciting statement!
stonemason's glove social media digitalinfluencer";pos;0.7461960809704525;0.2538039190295477;positive;0.92;0.02;0.06;POSITIVE;0.9978011250495911;0.0021988749504089355;0.9173997615813764;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:12:20+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:12:10+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:12:02+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:11:46+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:11:34+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:11:27+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;0;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
Juliopifador 14🧙‍♂️🍺🎮⚽️✨🩲🐺;juliopifador;2022-09-13 19:10:35+00:00;"Assistam o vídeo,mostrando quem é o melhor. Luva de Pedreiro ou Bora Bill? Dois fenômenos da internet,vão lá comentam quem é o melhor,dão like,se inscrevam e ativam o sininho para dar aquela moral.
 ";0;1;0;Watch the video, showing who is the best. Mason's Glove or Bora Bill? Two internet phenomena, go there and comment who is the best, like, subscribe and activate the bell to give that moral.;pos;0.889877778174032;0.1101222218259701;positive;0.95;0.01;0.03;POSITIVE;0.8608841300010681;0.13911586999893188;0.9159494340251669;Positivo
João Vitor;vtr_0001;2022-09-13 16:27:15+00:00;33956141 1z  Uma coisa é vc estuda pra entrar numa faculdade outra é deixar de ser analfabeto. Luva de pedreiro sabe bem escrever.;0;21;0;33956141 1z One thing is you study to get into college, another is to stop being illiterate. Mason's glove knows how to write.;pos;0.5248250786843337;0.4751749213156656;positive;0.97;0.01;0.02;POSITIVE;0.9995825886726379;0.00041741132736206055;0.9148557508613727;Positivo
Luciene Gazeta - Jornalista & RP | Agro & Saúde;LucieneGazeta;2022-09-13 21:23:36+00:00;"Não só likes e seguidores aos milhões fazem uma pessoa feliz: paz e anonimato também! RECEBA!

LuvadePedreiro se aposenta aos 20 anos!

";0;0;0;"Not only likes and followers by the millions make a person happy: peace and anonymity too! RECEIVE!

GlovedePedreiro retires at 20!";pos;0.9944341098169772;0.0055658901830234;positive;0.96;0.01;0.03;POSITIVE;0.7839901447296143;0.21600985527038574;0.9146306284680293;Positivo
Rica Perrone;RicaPerrone;2022-09-13 22:26:50+00:00;Gracas a deus a Ludmilla, o Leo Dias e o Luva de Pedreiro nos deram um dia de paz sobre Lula x Bolsonaro. kkkkk;3;1146;34;Thank god Ludmilla, Leo Dias and Luva de Pedreiro gave us a day of peace about Lula x Bolsonaro. hahahaha;pos;0.689792570896366;0.3102074291036341;positive;0.95;0.02;0.03;POSITIVE;0.9541122317314148;0.045887768268585205;0.9140024334798851;Positivo
ᴍᴀʏᴄᴏɴ ;iMaycon;2022-09-13 18:34:02+00:00;  _cripto   ajuda o ;0;1;0;_crypto helps the;pos;0.6910030323162029;0.3089969676837971;positive;0.93;0.01;0.06;POSITIVE;0.9824388027191162;0.01756119728088379;0.9108400911077765;Positivo
Buda;boodahpeste;2022-09-13 18:46:16+00:00;Po espero que o Luva de Pedreiro esteja bem psicologicamente;0;0;0;Po I hope the Mason Glove is well psychologically;neg;0.4689195883356759;0.5310804116643241;positive;0.98;0.01;0.02;POSITIVE;0.9931883811950684;0.006811618804931641;0.9107566215322589;Positivo
Will;willguerreiros;2022-09-13 18:53:28+00:00;"luva de pedreiro trabalhou por um ano, virou milionário e se aposentou

é muito meu ídolo.";0;8;0;"bricklayer's glove worked for a year, became a millionaire and retired

is very much my idol.";pos;0.8376619265304441;0.1623380734695582;positive;0.96;0.01;0.04;POSITIVE;0.8403579592704773;0.1596420407295227;0.908339692153057;Positivo
RJ;Mito69397778;2022-09-13 16:15:33+00:00;  Boa notícia;0;0;0;Good news;neg;0.4661613004063771;0.533838699593623;positive;0.98;0.01;0.02;POSITIVE;0.9832080006599426;0.016791999340057373;0.9075110431037517;Positivo
@rthur;arturvinisa;2022-09-13 20:36:18+00:00;Luva de Pedreiro sendo um bom baiano;0;0;0;Mason's Glove being a good Bahian;neg;0.4094673680157353;0.5905326319842645;positive;0.99;0.0;0.01;POSITIVE;0.9890210032463074;0.010978996753692627;0.9067870535011929;Positivo
vênus do tietê;elsamugrillo;2022-09-13 19:00:13+00:00;é tão bom ser gay, só fiquei sabendo de coisas tipo bora bill, acorda pedrinho e luva de pedreiro pq li sobre no twitter, na vida real nunca chegou até mim;0;11;3;it's so good to be gay, i only heard about things like bora bill, wake up pedrinho and mason glove because i read about it on twitter, in real life it never came to me;pos;0.6200246546964525;0.3799753453035456;positive;0.96;0.01;0.02;POSITIVE;0.940669059753418;0.05933094024658203;0.9059089677433269;Positivo
S.E Palmeiras Bot;palmeiras_bot;2022-09-13 20:24:11+00:00;"2ºT |  ⌚40 min:  
 
 GOOOOOOOL DO PALMEIRAS !!!! GUSTAVO GOMEZ FAZ BELA JOGADA PELA DIREITA, CRUZA NA ÁREA E, NA SOBRA, LUVA DE PEDREIRO MANDA PARA O GOL!!! 
 
AvantiPalestra .";0;1;0;"2nd Q | ⌚40 min:
 
 GOOOOOOOOL DO PALMEIRAS!!!! GUSTAVO GOMEZ MAKES A BEAUTIFUL PLAY ON THE RIGHT, CROSS IN THE AREA AND, IN THE LEFT, MASON GLOVE SENDS TO THE GOAL!!!
 
Advance Lecture .";pos;0.6037451063456835;0.3962548936543136;positive;0.93;0.04;0.03;POSITIVE;0.999710738658905;0.0002892613410949707;0.9033095119519278;Positivo
Patrick;HxrryKane_;2022-09-13 18:09:53+00:00;que bacana luva de pedreiro, atitude bem foda ;0;8;0;what a nice bricklayer's glove, pretty badass attitude;neg;0.3627580115252098;0.6372419884747899;positive;0.99;0.01;0.01;POSITIVE;0.9986974596977234;0.0013025403022766113;0.9028789901315223;Positivo
Renato R.;__RenatoRocha;2022-09-13 23:01:38+00:00;Força luva de pedreiro, nosso guerreiro 🥲🥲🥲 ;0;0;0;Strength bricklayer glove, our warrior 🥲🥲🥲;pos;0.5604679568035318;0.4395320431964684;positive;0.94;0.01;0.05;POSITIVE;0.9995850920677185;0.00041490793228149414;0.9028054487055669;Positivo
𝐖𝐚𝐥𝐥𝐚𝐜𝐞 𝐕𝐢𝐜𝐭𝐨𝐫𝐢𝐧𝐨;euwall;2022-09-13 20:39:25+00:00;"  Exatamente.
Vai ser bom pra ele dá uma desligada.";0;1;0;"Exactly.
It will be good for him to turn it off.";pos;0.6392239691629915;0.3607760308370081;positive;0.94;0.04;0.02;POSITIVE;0.9554636478424072;0.04453635215759277;0.9014501806925436;Positivo
Simone;Simone98915117;2022-09-13 16:58:41+00:00;  Agora foca nos estudos! Já tem um bom empresário!!;0;0;0;Now focus on studies! You already have a good businessman!!;pos;0.9345702637592724;0.065429736240728;positive;0.98;0.0;0.01;POSITIVE;0.7206078767776489;0.2793921232223511;0.89939800247351;Positivo
Anderson S. Souza;AndersosanSouza;2022-09-13 22:53:41+00:00; 7  ôpa!! eu fiquei sabendo pelas mídias sociais que vc vai dar um tempo das mídias... , es pero que nesse tempo vc retoma os estudos, família e que se torne mais culto para lê ajudar especialmente na sua vida! desejo-le saúde e sabedoria;0;0;0;7 oops!! I found out through social media that you are going to take a break from the media... , I hope that in this time you resume your studies, family and that you become more cultured to help especially in your life! I wish you health and wisdom;pos;0.9594933015582152;0.0405066984417834;positive;0.93;0.01;0.05;POSITIVE;0.8064870238304138;0.19351297616958618;0.8989239070312919;Positivo
Pedrinh000014( @joseilson..conta reserva);Pedrinhoooo14;2022-09-13 20:57:48+00:00;  Desde quando pobreza é coisa boa;0;0;0;Since when is poverty a good thing;pos;0.8343691758780357;0.165630824121964;positive;0.87;0.06;0.07;POSITIVE;0.9840869307518005;0.015913069248199463;0.8975061481973767;Positivo
diandra;kittyszxz;2022-09-13 18:56:54+00:00;luva de pedreiro teve a coragem de dar unf no Neymar🤯;0;0;0;mason glove had the courage to unf Neymar🤯;pos;0.7198136670402017;0.2801863329597995;positive;0.89;0.05;0.06;POSITIVE;0.9975364208221436;0.0024635791778564453;0.8964123583834984;Positivo
Daniel Ferreira;danieldoferrao;2022-09-13 23:04:05+00:00;  Um menino humilde como ele é pesado as transformações que teve nos últimos meses na vida dele tem que ter cabeça pra dar com tudo que passou na vida dele;0;1;0;A humble boy like him is heavy with the changes he has had in the last few months in his life, he has to have the head to deal with everything he has been through in his life;pos;0.9374813719998474;0.0625186280001503;positive;0.84;0.09;0.07;POSITIVE;0.9885285496711731;0.011471450328826904;0.8963626387631705;Positivo
Jubão;juliasneira;2022-09-13 17:00:38+00:00; pode passar o manto pra frente que eu aceito pai graças a Deus (me ajoelhando no chão, tirando a camisa e balançando) o melhor do mundo, receba! Bora que eu concluo a agenda, já tô preparado;0;0;0;you can pass the mantle on, I accept it father thank God (kneeling on the floor, taking off my shirt and swinging) the best in the world, receive! Let's finish the agenda, I'm ready;pos;0.9490423879923175;0.0509576120076865;positive;0.83;0.03;0.14;POSITIVE;0.9978391528129578;0.0021608471870422363;0.894960099088319;Positivo
